OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,lat,lng
421,PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,483,3.30233333,35.467079,-97.513657
424,E EXPRESS,"I-40, EXIT 166",Choctaw,OK,483,2.899,35.484983,-97.269942
425,Neighbors Express,"I-16, EXIT 51",Dublin,GA,85,3.299,32.535471,-82.928807
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,795,3.324,42.102567,-102.876188
456,THE COUNTRY OASIS,US-24,Woodburn,IN,370,3.399,41.128114,-84.850513
458,HAPPY HILLS GAS & COFFEE,I-29 EXIT 110,Rock Port,MO,400,3.399,40.410911,-95.533087
460,TRUCK STOP 44,I-20 EXIT 44,Gilbert,SC,135,3.079,33.924111,-81.391042
461,SPINX #271,"I-26, EXIT 145 & US-601",Orangeburg,SC,42,3.26233333,33.493596,-80.866880
469,LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,803,3.259,37.474528,-105.876956
474,KEWANEE 1 STOP,"I-20, EXIT 169 & US-80",Toomsuba,MS,705,3.299,32.430282,-88.507088
478,GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina,ND,355,3.299,48.967087,-97.246861
483,ALLSUPS #2387,US-54/SR-136/SR-3 & US-64,Guymon,OK,585,2.97566666,36.690101,-101.477046
486,LA NORIA CONV STORES,"I-35 N, EXIT 4",Laredo,TX,693,3.299,27.560379,-99.489181
489,EDDIES CORNER,US-87 & US-191,Moore,MT,815,3.749,46.974956,-109.695113
496,PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.439,35.970680,-83.949270
509,LOVES TRAVEL STOPS #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,31.040670,-104.834156
509,LOVES TRAVEL STOP #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,31.040670,-104.834156
522,GO MART FOOD STORE #57,"I-70 & ST-285, EXIT 186",Lore City,OH,430,3.179,39.983203,-81.460077
523,CIRCLE K #2723322,"I-985, EXIT 20 & SR-60",Gainesville,GA,18,3.26566666,34.290100,-83.829106
525,FASTBREAK,US-45 ALT,West Point,MS,705,3.059,33.606236,-88.657568
546,PLAZA 30,US-30,Wanatah,IN,365,3.499,41.430561,-86.892347
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.389,41.357929,-89.139390
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.589,41.357929,-89.139390
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.449,41.357929,-89.139390
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.289,41.357929,-89.139390
559,SHELL MORGAN ROAD TRUCK STOP,"I-40, EXIT 142",Maumelle,AR,695,3.20733333,34.852344,-92.399995
566,TA GARY TRAVEL CENTER,"I-80/I-94, EXIT 6",Gary,IN,365,3.83066666,41.590740,-87.347113
567,TA ELOY TRAVEL CENTER,"I-10 & I-8, EXIT 203",Eloy,AZ,930,3.459,32.741255,-111.594015
572,PILOT TRAVEL CENTER #881,"I-69, EXIT 309A",Fort Wayne,IN,370,3.899,41.088193,-85.142791
572,PILOT TRAVEL CENTERS #881,"I-69, EXIT 309A",Fort Wayne,IN,370,3.879,41.088193,-85.142791
576,PETRO STOPPING CENTER #343,"I-10, EXIT 76",Egan,LA,600,3.624,30.245515,-92.511594
578,LOVES TRAVEL STOP #449,"I-84, EXIT 17",Troutdale,OR,935,3.779,45.539220,-122.392673
579,FLYING J TRAVEL PLAZA #764,"I-80, EXIT 104 & US-191",Rock Springs,WY,835,3.67066666,41.594705,-109.220921
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.399,46.209022,-119.767753
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.559,46.209022,-119.767753
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,615,2.964,33.193047,-87.454861
591,TA Concordia Travel Plaza,"I-70, EXIT 58 & SR-23",Concordia,MO,400,3.22566666,38.987513,-93.569227
599,Sapp Bros Travel Center,"I-80, EXIT 59 & SR-17J",Sidney,NE,475,3.50066666,41.133633,-102.969540
602,JIFFY MART EXIT 18 TRUCK STOP,"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH,12,3.599,43.635428,-72.253837
614,TA MAYBROOK TRAVEL CENTER,"I-84, EXIT 5",Montgomery,NY,120,4.359,41.521266,-74.238661
628,KWIK FILL #227,"I-90,  EXIT 218",Geneva,OH,305,3.15233333,41.800749,-80.946251
636,UNION 76,"I-5, EXIT 233 E",Albany,OR,935,3.379,44.626928,-123.096741
651,ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,460,2.98566666,35.871950,-88.144936
652,TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.42566666,35.970680,-83.949270
669,PETRO STOPPING CENTER #350,"I-10,  EXIT 4",Canutillo,TX,640,3.499,31.918485,-106.601062
672,CROWN POINT TRUCK STOP,"I-295/US-130,EXIT 22",Thorofare,NJ,150,3.549,39.854728,-75.198685
680,TA EXPRESS SUMMIT,"I-29, EXIT 207 & US-12",Summit,SD,566,3.20566666,45.305573,-97.039106
684,7-ELEVEN #35101,"I-86/SR-17, EXIT 16",Randolph,NY,38,4.499,42.162290,-78.979690
689,FLYING EAGLE,"I-235, EXIT 4",Wichita,KS,570,3.499,37.690638,-97.345836
692,BP,US-63,Ottumwa,IA,489,3.399,41.022251,-92.423263
739,Arco #364420,US-23,Greenup,KY,255,3.649,38.566502,-82.823620
748,QUIKTRIP #4231,US-85,Evans,CO,800,3.17233333,40.350165,-104.748355
769,AYERCO #26,US-61/US-136,Alexandria,MO,345,3.01566666,40.359890,-91.459391
815,Kwik Trip #1508,"US-18/SR-151, EXIT 58",Barneveld,WI,420,3.489,43.012213,-89.898168
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.379,42.316696,-87.859201
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.499,42.316696,-87.859201
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.289,42.316696,-87.859201
863,Ocean Fuel,US-301/SR-73,Sylvania,GA,195,3.499,32.747226,-81.640693
906,PILOT TRAVEL CENTERS #429,"I-40, EXIT 280",West Memphis,AR,435,3.499,35.149554,-90.199266
906,PILOT TRAVEL CENTER #429,"I-40, EXIT 280",West Memphis,AR,435,3.291,35.149554,-90.199266
908,CIRCLE K #2704888,"I-65, EXIT 246 & SR-119",Pelham,AL,615,3.46566666,33.321830,-86.742197
912,PETRO STOPPING CENTER #319,"I-20/59,  EXIT 100",Mc Calla,AL,615,3.12566666,33.303112,-87.026660
936,CASEYS #4254,"I-40, EXIT 129",Conway,AR,695,3.03233333,35.074404,-92.467004
970,CIRCLE K #2702885,"I-17/SR-60, EXIT 199A",Phoenix,AZ,930,3.39233333,33.572154,-112.090132
977,PILOT TRAVEL CENTER #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959,33.667507,-114.217041
977,PILOT TRAVEL CENTERS #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959,33.667507,-114.217041
981,STINKER #85,"I-15, EXIT 93",Blackfoot,ID,825,3.53233333,43.194595,-112.346811
982,CIRCLE K #2701948,"I-8, EXIT 7 & SR-195",Yuma,AZ,900,3.56566666,32.516286,-114.521782
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.449,39.670017,-75.566519
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.399,39.670017,-75.566519
1042,Union 76,US-441 & SR-100A,Lake City,FL,75,3.56233333,30.188638,-82.642246
1043,ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,75,3.259,30.188638,-82.642246
1043,SHELL DBA ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,75,3.244,30.188638,-82.642246
1047,TA MARIANNA TRAVEL CENTER,"I-10/SR-8, EXIT 142 & SR-71",Marianna,FL,20,3.60733333,30.794456,-85.228410
1075,PILOT TRAVEL CENTER #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,85,3.43233333,32.535471,-82.928807
1075,PILOT TRAVEL CENTERS #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,85,3.399,32.535471,-82.928807
1106,CIRCLE K #2705367,"I-20, EXIT 172",Thomson,GA,16,3.399,33.469270,-82.495116
1112,BC AMPRIDE TRUCK PLAZA,US-59/SR-141,Denison,IA,527,3.399,42.015886,-95.352404
1115,KWIK STAR #704,SR-57/SR-14,Parkersburg,IA,565,3.58233333,42.573851,-92.778450
1121,TRAVELERS OASIS,"I-84, EXIT 182",Eden,ID,787,3.799,42.605309,-114.209087
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.819,42.450687,-87.925147
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.879,42.450687,-87.925147
